pattern;color;material;;brand;image_1;image_2;image_3;image_4;image_5;image_6;image_7;image_8;image_9;image_10;image_11;image_12;image_13;image_14;image_15;image_16;image_17;image_18;image_19;image_20;;;;
elbzt00254;wbb0;elbzt00254-wbb0;ELBZT00254-WBB0;element;elbzt00254_element,f_wbb0_frt1.jpg;elbzt00254_element,f_wbb0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbzt00255;fbk;elbzt00255-fbk;ELBZT00255-FBK;element;elbzt00255_element,f_fbk_frt1.jpg;elbzt00255_element,f_fbk_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbzt00255;wbb0;elbzt00255-wbb0;ELBZT00255-WBB0;element;elbzt00255_element,f_wbb0_frt1.jpg;elbzt00255_element,f_wbb0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbzt00256;gzh0;elbzt00256-gzh0;ELBZT00256-GZH0;element;elbzt00256_element,f_gzh0_frt1.jpg;elbzt00256_element,f_gzh0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbzt00256;kta0;elbzt00256-kta0;ELBZT00256-KTA0;element;elbzt00256_element,f_kta0_frt1.jpg;elbzt00256_element,f_kta0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbzt00257;bmk0;elbzt00257-bmk0;ELBZT00257-BMK0;element;elbzt00257_element,f_bmk0_frt1.jpg;elbzt00257_element,f_bmk0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbzt00257;kta0;elbzt00257-kta0;ELBZT00257-KTA0;element;elbzt00257_element,f_kta0_frt1.jpg;elbzt00257_element,f_kta0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbzt00258;gzh0;elbzt00258-gzh0;ELBZT00258-GZH0;element;elbzt00258_element,f_gzh0_frt1.jpg;elbzt00258_element,f_gzh0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbzt00258;teg0;elbzt00258-teg0;ELBZT00258-TEG0;element;elbzt00258_element,f_teg0_frt1.jpg;elbzt00258_element,f_teg0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbzt00259;bmk0;elbzt00259-bmk0;ELBZT00259-BMK0;element;elbzt00259_element,f_bmk0_frt1.jpg;elbzt00259_element,f_bmk0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbzt00259;kta0;elbzt00259-kta0;ELBZT00259-KTA0;element;elbzt00259_element,f_kta0_frt1.jpg;elbzt00259_element,f_kta0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbzt00260;fbk;elbzt00260-fbk;ELBZT00260-FBK;element;elbzt00260_element,f_fbk_frt1.jpg;elbzt00260_element,f_fbk_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbzt00261;fbk;elbzt00261-fbk;ELBZT00261-FBK;element;elbzt00261_element,f_fbk_frt1.jpg;elbzt00261_element,f_fbk_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbzt00261;rra0;elbzt00261-rra0;ELBZT00261-RRA0;element;elbzt00261_element,f_rra0_frt1.jpg;elbzt00261_element,f_rra0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbzt00262;ctf0;elbzt00262-ctf0;ELBZT00262-CTF0;element;elbzt00262_element,f_ctf0_frt1.jpg;elbzt00262_element,f_ctf0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbzt00262;wbb0;elbzt00262-wbb0;ELBZT00262-WBB0;element;elbzt00262_element,f_wbb0_frt1.jpg;elbzt00262_element,f_wbb0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
